Original Filename,Renamed Filename
1-s2.0-S2214785320383450-main.pdf,reference_94.pdf
1-s2.0-S2214785320389458-main.pdf,reference_95.pdf
1-s2.0-S2214785320395341-main.pdf,reference_96.pdf
1-s2.0-S2214785321009962-main.pdf,reference_97.pdf
1-s2.0-S2214785321026535-main.pdf,reference_98.pdf
1-s2.0-S2214785321064671-main.pdf,reference_99.pdf
1-s2.0-S2214785322009452-main.pdf,reference_100.pdf
1-s2.0-S221486041630330X-main.pdf,reference_101.pdf
1-s2.0-S2214860417302749-main.pdf,reference_102.pdf
1-s2.0-S2214860419302076-main.pdf,reference_103.pdf
1-s2.0-S2214860419308711-main.pdf,reference_104.pdf
1-s2.0-S2214860421002773-main.pdf,reference_105.pdf
1-s2.0-S2238785419301905-main.pdf,reference_106.pdf
1-s2.0-S2238785420317609-main.pdf,reference_107.pdf
1-s2.0-S2238785420318986-main.pdf,reference_108.pdf
1-s2.0-S2238785421007924-main.pdf,reference_109.pdf
1-s2.0-S2351978917302615-main.pdf,reference_110.pdf
1-s2.0-S2351978919300770-main.pdf,reference_111.pdf
1-s2.0-S2351978919310984-main.pdf,reference_112.pdf
1-s2.0-S2351978919311540-main.pdf,reference_113.pdf
1-s2.0-S2351978919311722-main.pdf,reference_114.pdf
1-s2.0-S2352492817302635-main.pdf,reference_115.pdf
1-s2.0-S2352492820302282-main.pdf,reference_116.pdf
1-s2.0-S2352492821001689-main.pdf,reference_117.pdf
1-s2.0-S2352940721001438-main.pdf,reference_118.pdf
1-s2.0-S2588840419300381-main.pdf,reference_119.pdf
1-s2.0-S2588840420300196-main.pdf,reference_120.pdf
1-s2.0-S2589234719300557-main.pdf,reference_121.pdf
1-s2.0-S2590123021000335-main.pdf,reference_122.pdf
1-s2.0-S266635112100070X-main.pdf,reference_123.pdf
1-s2.0-S2666682021000074-main.pdf,reference_124.pdf
10-1108_13552540810862028.pdf,reference_125.pdf
10-1108_rpj-07-2014-0083.pdf,reference_126.pdf
10-1108_rpj-09-2014-0135.pdf,reference_127.pdf
10-1108_rpj-10-2012-0091.pdf,reference_128.pdf
10-1108_rpj-12-2012-0112.pdf,reference_129.pdf
10.1515_agriceng-2019-0014.pdf,reference_130.pdf
10.1515_agriceng-2020-0024.pdf,reference_131.pdf
10.1515_aucts-2017-0004.pdf,reference_132.pdf
10.1515_secm-2011-0141.pdf,reference_133.pdf
10.1515_secm-2013-0051.pdf,reference_134.pdf
10.21597-jist.772977-1213422.pdf,reference_135.pdf
14-046TT.pdf,reference_136.pdf
1994-06-Comb.pdf,reference_137.pdf
2003-29-Bellehumeur.pdf,reference_138.pdf
312_open_EPL-0001596_article.pdf,reference_139.pdf
539894339.pdf,reference_140.pdf
978-3-319-95083-9.pdf,reference_141.pdf
A-10-432-1.pdf,reference_142.pdf
A_1020200822435.pdf,reference_143.pdf
An_Experimental_Investigation_on_Surface.pdf,reference_144.pdf
Bintara_2021_IOP_Conf._Ser.%3A_Mater._Sci._Eng._1034_012096.pdf,reference_145.pdf
Christiyan_2016_IOP_Conf._Ser.%3A_Mater._Sci._Eng._114_012109.pdf,reference_146.pdf
Comp Rev Food Sci Food Safe - 2010 - Jamshidian - Poly‐Lactic Acid  Production  Applications  Nanocomposites  and Release.pdf,reference_147.pdf
Demirta%C5%9F_2023_Phys._Scr._98_065923.pdf,reference_148.pdf
Effect_of_Build_Orientation_on_FDM_Parts.pdf,reference_149.pdf
Effect_of_infill_Parameter_on_compressio.pdf,reference_150.pdf
Feed_rate_and_volume_of_material_effects_in_fused_deposition_modeling_nozzle_wear.pdf,reference_151.pdf
Haq_2017_IOP_Conf._Ser.%3A_Mater._Sci._Eng._226_012038.pdf,reference_152.pdf
IJEDR1703083.pdf,reference_153.pdf
J Biomedical Materials Res - 2007 - Go - Heparin‐conjugated star‐shaped PLA for improved biocompatibility.pdf,reference_154.pdf
J Polym Sci B Polym Phys - 2005 - Fraschini - Cracking in polylactide spherulites.pdf,reference_155.pdf
J Polym Sci B Polym Phys - 2011 - Liu - Research progress in toughening modification of poly lactic acid.pdf,reference_156.pdf
J of Applied Polymer Sci - 2005 - Mathew - Mechanical properties of biodegradable composites from poly lactic acid  PLA .pdf,reference_157.pdf
J of Applied Polymer Sci - 2011 - Sun - Polylactide toughening with epoxy‐functionalized grafted acrylonitrile butadiene.pdf,reference_158.pdf
J of Applied Polymer Sci - 2011 - Tang - The crystallization behavior and mechanical properties of polylactic acid in the.pdf,reference_159.pdf
JTP.2014.39.1.6.pdf,reference_160.pdf
Macromolecular Bioscience - 2004 - Auras - An Overview of Polylactides as Packaging Materials.pdf,reference_161.pdf
Noroozi_2022_Biomed._Mater._17_045024.pdf,reference_162.pdf
PartainS0507.pdf,reference_163.pdf
Polylactic Acid Technology_25_07_06_23_16_16.pdf,reference_164.pdf
Polymer Composites - 2016 - Jaszkiewicz - Mechanical and thermomechanical properties of PLA Man‐made cellulose green.pdf,reference_165.pdf
Polymer Composites - 2017 - Patanwala - The microstructure and mechanical properties of 3D printed carbon.pdf,reference_166.pdf
Polymer Composites - 2021 - Shanmugam - Fused deposition modeling based polymeric materials and their performance  A review.pdf,reference_167.pdf
Rismalia_2019_J._Phys.%3A_Conf._Ser._1402_044041.pdf,reference_168.pdf
STUDY OF THE INFLUENCE OF 3D PRINTING PARAMETERS ON.pdf,reference_169.pdf
WJET_2016102011345554.pdf,reference_170.pdf
"admin,+2_Jaszkiewicz_en.pdf",reference_171.pdf
"admin,+4.++SI+JT+Vol+77.33+2015_maidin.pdf",reference_172.pdf
"adoboczi,+04_PPME_13683_P.pdf",reference_173.pdf
applsci-07-00579-v2.pdf,reference_174.pdf
boissard-et-al-2012-cellular-biocomposites-from-polylactide-and-microfibrillated-cellulose.pdf,reference_175.pdf
c7nr00617a.pdf,reference_176.pdf
dave-et-al-2019-effect-of-infill-pattern-and-infill-density-at-varying-part-orientation-on-tensile-properties-of-fused.pdf,reference_177.pdf
document.pdf,reference_178.pdf
fisher-et-al-2016-3d-bioprinting-of-polylactic-acid-%28pla%29-nanofiber-alginate-hydrogel-bioink-containing-human-adipose.pdf,reference_179.pdf
jged_v8_n1_p3.pdf,reference_180.pdf
magri-et-al-2019-mechanical-properties-of-cf-reinforced-pla-parts-manufactured-by-fused-deposition-modeling.pdf,reference_181.pdf
materials-02-02369.pdf,reference_182.pdf
materials-08-05271.pdf,reference_183.pdf
materials-11-01322.pdf,reference_184.pdf
materials-12-02499.pdf,reference_185.pdf
polymers-02-00728.pdf,reference_186.pdf
polymers-12-02792.pdf,reference_187.pdf
review_1.pdf,reference_188.pdf
review_2.pdf,reference_189.pdf
s00170-010-2821-1.pdf,reference_190.pdf
s00170-014-5835-2.pdf,reference_191.pdf
s00170-014-5886-4.pdf,reference_192.pdf
s00170-015-7843-2.pdf,reference_193.pdf
s00170-018-1932-y.pdf,reference_194.pdf
s00170-018-2490-z.pdf,reference_195.pdf
s00170-018-3047-x.pdf,reference_196.pdf
s00170-022-08860-7.pdf,reference_197.pdf
s10570-014-0523-9.pdf,reference_198.pdf
s10853-014-8721-2.pdf,reference_199.pdf
s11340-018-00467-y.pdf,reference_200.pdf
s11665-017-3065-0.pdf,reference_201.pdf
s11837-015-1367-y.pdf,reference_202.pdf
s12008-019-00536-z.pdf,reference_203.pdf
s13233-010-0916-z.pdf,reference_204.pdf
s13369-017-2598-8.pdf,reference_205.pdf
s40684-021-00385-w.pdf,reference_206.pdf
s40964-015-0002-3.pdf,reference_207.pdf
s40964-021-00247-6.pdf,reference_208.pdf
sciadv.1700262.pdf,reference_209.pdf
srep23058.pdf,reference_210.pdf
