original_name,new_name
1-s2.0-S2238785420318986-main.pdf,FDM_PLA_Filler_7.pdf
2003-29-Bellehumeur.pdf,FDM_PLA_Itself_40.pdf
10-1108_rpj-09-2014-0135.pdf,FDM_10.pdf
1-s2.0-S0079670009001154-main.pdf,FDM_PLA_Itself_41.pdf
1-s2.0-S0261306999000126-main.pdf,FDM_PLA_Itself_42.pdf
1-s2.0-S135983682100322X-main.pdf,FDM_PLA_Filler_8.pdf
1-s2.0-S1877705817326267-main.pdf,FDM_11.pdf
Rismalia_2019_J._Phys.%3A_Conf._Ser._1402_044041.pdf,FDM_12.pdf
JTP.2014.39.1.6.pdf,FDM_PLA_Itself_43.pdf
srep23058.pdf,FDM_PLA_Itself_44.pdf
1-s2.0-S0264127515004037-main.pdf,FDM_PLA_Itself_45.pdf
1-s2.0-S092666902030090X-main.pdf,FDM_PLA_Filler_9.pdf
s00170-022-08860-7.pdf,FDM_PLA_Itself_46.pdf
A-10-432-1.pdf,FDM_PLA_Itself_47.pdf
polymers-12-02792.pdf,FDM_PLA_Itself_48.pdf
1-s2.0-S2352492820302282-main.pdf,FDM_13.pdf
s13369-017-2598-8.pdf,FDM_PLA_Itself_49.pdf
materials-12-02499.pdf,FDM_PLA_Itself_50.pdf
s11340-018-00467-y.pdf,FDM_PLA_Itself_51.pdf
1-s2.0-S0142941820321541-main.pdf,FDM_PLA_Itself_52.pdf
1-s2.0-S2214860417302749-main.pdf,FDM_PLA_Itself_53.pdf
1-s2.0-S2214785320352688-main.pdf,FDM_PLA_Filler_10.pdf
s00170-014-5835-2.pdf,FDM_PLA_Itself_54.pdf
dave-et-al-2019-effect-of-infill-pattern-and-infill-density-at-varying-part-orientation-on-tensile-properties-of-fused.pdf,FDM_PLA_Itself_55.pdf
1-s2.0-S2351978919311540-main.pdf,FDM_PLA_Itself_56.pdf
10.1515_secm-2013-0051.pdf,FDM_PLA_Itself_57.pdf
1-s2.0-S2214785322009452-main.pdf,FDM_PLA_Itself_58.pdf
J Polym Sci B Polym Phys - 2011 - Liu - Research progress in toughening modification of poly lactic acid.pdf,FDM_PLA_Itself_59.pdf
1-s2.0-S2214785320376458-main.pdf,FDM_PLA_Itself_60.pdf
IJEDR1703083.pdf,FDM_PLA_Itself_61.pdf
10-1108_rpj-12-2012-0112.pdf,FDM_PLA_Itself_62.pdf
1-s2.0-S0263822319322706-main.pdf,FDM_PLA_Itself_63.pdf
1-s2.0-S2351978919300770-main.pdf,FDM_PLA_Itself_64.pdf
539894339.pdf,FDM_PLA_Itself_65.pdf
1-s2.0-S0142941818303842-main.pdf,FDM_PLA_Itself_66.pdf
1-s2.0-S2214785319321066-main.pdf,FDM_14.pdf
materials-08-05271.pdf,FDM_PLA_Itself_67.pdf
1-s2.0-S2588840419300381-main.pdf,FDM_PLA_Itself_68.pdf
10-1108_rpj-10-2012-0091.pdf,FDM_PLA_Itself_69.pdf
1-s2.0-S2214785321026535-main.pdf,FDM_15.pdf
1-s2.0-S221478532034877X-main.pdf,FDM_PLA_Filler_11.pdf
s11665-017-3065-0.pdf,FDM_PLA_Itself_70.pdf
1-s2.0-S0264127519303223-main.pdf,FDM_PLA_Filler_12.pdf
Effect_of_Build_Orientation_on_FDM_Parts.pdf,FDM_PLA_Itself_71.pdf
1-s2.0-S2214860419302076-main.pdf,FDM_PLA_Filler_13.pdf
1-s2.0-S0924013606011162-main.pdf,FDM_PLA_Itself_72.pdf
1-s2.0-S1526612516301013-main.pdf,FDM_PLA_Itself_73.pdf
978-3-319-95083-9.pdf,FDM_16.pdf
1-s2.0-S0020740316309596-main.pdf,FDM_PLA_Itself_74.pdf
1-s2.0-S1526612504700717-main.pdf,FDM_PLA_Itself_75.pdf
020072_1_online.pdf,FDM_PLA_Itself_76.pdf
Polymer Composites - 2021 - Shanmugam - Fused deposition modeling based polymeric materials and their performance  A review.pdf,FDM_PLA_Itself_77.pdf
10.21597-jist.772977-1213422.pdf,FDM_17.pdf
10.1515_agriceng-2020-0024.pdf,FDM_PLA_Itself_78.pdf
1-s2.0-S0144861720300199-main.pdf,FDM_PLA_Filler_14.pdf
s00170-010-2821-1.pdf,FDM_PLA_Itself_79.pdf
s12008-019-00536-z.pdf,FDM_PLA_Itself_80.pdf
1-s2.0-S2352492817302635-main.pdf,FDM_PLA_Filler_PLA_Itself_1.pdf
1-s2.0-S0890695503003262-main.pdf,FDM_PLA_Itself_81.pdf
An_Experimental_Investigation_on_Surface.pdf,FDM_PLA_Itself_82.pdf
1-s2.0-S027288421832039X-main.pdf,FDM_PLA_Filler_15.pdf
Effect_of_infill_Parameter_on_compressio.pdf,FDM_PLA_Itself_83.pdf
1-s2.0-S0307904X16303675-main.pdf,FDM_PLA_Itself_84.pdf
10.1515_aucts-2017-0004.pdf,FDM_18.pdf
10-1108_rpj-07-2014-0083.pdf,FDM_PLA_Itself_85.pdf
1-s2.0-S0007850607614954-main.pdf,FDM_PLA_Itself_86.pdf
Christiyan_2016_IOP_Conf._Ser.%3A_Mater._Sci._Eng._114_012109.pdf,FDM_PLA_Itself_87.pdf
10-1108_13552540810862028.pdf,FDM_PLA_Itself_88.pdf
1-s2.0-S1359835X15003966-main.pdf,PLA_Filler_1.pdf
1-s2.0-S1359835X09000840-main.pdf,PLA_Filler_2.pdf
1-s2.0-S1359835X1000312X-main.pdf,PLA_Filler_3.pdf
1-s2.0-S0008622315301792-main.pdf,PLA_Filler_4.pdf
1-s2.0-S0144861717311104-main.pdf,PLA_Filler_5.pdf
1-s2.0-S026635381930908X-main.pdf,PLA_Filler_6.pdf
s10570-014-0523-9.pdf,PLA_Filler_7.pdf
1-s2.0-S1359835X09000062-main.pdf,PLA_Filler_8.pdf
1-s2.0-S0141391010002430-main.pdf,PLA_Filler_9.pdf
fisher-et-al-2016-3d-bioprinting-of-polylactic-acid-%28pla%29-nanofiber-alginate-hydrogel-bioink-containing-human-adipose.pdf,PLA_Filler_10.pdf
s10853-014-8721-2.pdf,PLA_Filler_11.pdf
1-s2.0-S2238785421007924-main.pdf,PLA_Filler_12.pdf
1-s2.0-S0141391009003358-main.pdf,PLA_Filler_13.pdf
1-s2.0-S0032386114006636-main.pdf,PLA_Filler_14.pdf
1-s2.0-S0266353818316749-main.pdf,PLA_Filler_15.pdf
1-s2.0-S0924013616302515-main.pdf,PLA_Filler_16.pdf
J Biomedical Materials Res - 2007 - Go - Heparin‐conjugated star‐shaped PLA for improved biocompatibility.pdf,PLA_Filler_17.pdf
1-s2.0-S0266353816314117-main.pdf,PLA_Filler_18.pdf
s00170-015-7843-2.pdf,PLA_Filler_19.pdf
1-s2.0-S138824812100182X-main.pdf,PLA_Filler_20.pdf
1-s2.0-S0927775709005901-main.pdf,PLA_Filler_21.pdf
Haq_2017_IOP_Conf._Ser.%3A_Mater._Sci._Eng._226_012038.pdf,PLA_Filler_22.pdf
1-s2.0-S1751616119309361-main.pdf,PLA_Filler_23.pdf
1-s2.0-S0141813019334026-main.pdf,PLA_Filler_24.pdf
1-s2.0-S0032386107004922-main.pdf,PLA_Filler_25.pdf
1-s2.0-S0040603118300807-main.pdf,PLA_Filler_26.pdf
1-s2.0-S0169433208015067-main.pdf,PLA_Filler_27.pdf
sciadv.1700262.pdf,PLA_Filler_28.pdf
1-s2.0-S0926669017306696-main.pdf,PLA_Filler_29.pdf
s00170-018-2490-z.pdf,PLA_Filler_30.pdf
1-s2.0-S2214785318305029-main.pdf,PLA_Filler_31.pdf
1-s2.0-S2590123021000335-main.pdf,PLA_Filler_32.pdf
J of Applied Polymer Sci - 2005 - Mathew - Mechanical properties of biodegradable composites from poly lactic acid  PLA .pdf,PLA_Filler_33.pdf
1-s2.0-S2214860419308711-main.pdf,PLA_Filler_34.pdf
312_open_EPL-0001596_article.pdf,PLA_Filler_35.pdf
14-046TT.pdf,PLA_Filler_36.pdf
1-s2.0-S1359835X11002090-main.pdf,PLA_Filler_37.pdf
1-s2.0-S2214785320320472-main.pdf,PLA_Filler_38.pdf
1-s2.0-S135983681633195X-main.pdf,PLA_Filler_39.pdf
1-s2.0-S2214785320383450-main.pdf,PLA_Filler_40.pdf
materials-02-02369.pdf,PLA_Filler_41.pdf
1-s2.0-S0959652619347687-main.pdf,PLA_Filler_42.pdf
1-s2.0-S1359836818335686-main.pdf,PLA_Filler_43.pdf
s40684-021-00385-w.pdf,PLA_Filler_44.pdf
1-s2.0-S0022369707006245-main.pdf,PLA_Filler_45.pdf
polymers-02-00728.pdf,PLA_Filler_46.pdf
J of Applied Polymer Sci - 2011 - Tang - The crystallization behavior and mechanical properties of polylactic acid in the.pdf,PLA_Filler_47.pdf
1-s2.0-S0167577X1400175X-main.pdf,PLA_Filler_48.pdf
1-s2.0-S2238785420317609-main.pdf,PLA_Filler_49.pdf
1-s2.0-S0032386117306274-main.pdf,PLA_Filler_50.pdf
1-s2.0-S0169409X16301028-main.pdf,PLA_Filler_51.pdf
Polymer Composites - 2016 - Jaszkiewicz - Mechanical and thermomechanical properties of PLA Man‐made cellulose green.pdf,PLA_Filler_52.pdf
1-s2.0-S0144861712000173-main.pdf,PLA_Filler_53.pdf
1-s2.0-S2214785320324718-main.pdf,PLA_Filler_54.pdf
1-s2.0-S0379677918306192-main.pdf,PLA_Filler_55.pdf
1-s2.0-S1359835X16301695-main.pdf,PLA_Filler_56.pdf
1-s2.0-S1526612521004126-main.pdf,PLA_Filler_57.pdf
1-s2.0-S0379677916300649-main.pdf,PLA_Filler_58.pdf
1-s2.0-S2214785320318071-main.pdf,PLA_Filler_59.pdf
1-s2.0-S016943320400889X-main.pdf,PLA_Filler_60.pdf
Polymer Composites - 2017 - Patanwala - The microstructure and mechanical properties of 3D printed carbon.pdf,PLA_Filler_61.pdf
1-s2.0-S0264127518300169-main.pdf,PLA_Filler_62.pdf
boissard-et-al-2012-cellular-biocomposites-from-polylactide-and-microfibrillated-cellulose.pdf,PLA_Filler_63.pdf
c7nr00617a.pdf,PLA_Filler_64.pdf
1-s2.0-S0144861717313656-main.pdf,PLA_Filler_65.pdf
s13233-010-0916-z.pdf,PLA_Filler_66.pdf
1-s2.0-S014294181930892X-main.pdf,PLA_Filler_67.pdf
1-s2.0-S1755581721000018-main.pdf,PLA_Filler_68.pdf
"admin,+2_Jaszkiewicz_en.pdf",PLA_Filler_69.pdf
1-s2.0-S2214860421002773-main.pdf,PLA_Filler_70.pdf
1-s2.0-S1359835X10000849-main.pdf,PLA_Filler_71.pdf
1-s2.0-S0141813018311218-main.pdf,PLA_Filler_72.pdf
1-s2.0-S175161611931238X-main.pdf,PLA_Filler_73.pdf
1-s2.0-S2214785318301676-main.pdf,PLA_Filler_74.pdf
1-s2.0-S2214785320395341-main.pdf,PLA_Filler_75.pdf
1-s2.0-S0968089604000197-main.pdf,PLA_Filler_76.pdf
1-s2.0-S2352940721001438-main.pdf,PLA_Itself_1.pdf
J Polym Sci B Polym Phys - 2005 - Fraschini - Cracking in polylactide spherulites.pdf,PLA_Itself_2.pdf
A_1020200822435.pdf,PLA_Itself_3.pdf
Macromolecular Bioscience - 2004 - Auras - An Overview of Polylactides as Packaging Materials.pdf,PLA_Itself_4.pdf
Polylactic Acid Technology_25_07_06_23_16_16.pdf,PLA_Itself_5.pdf
1-s2.0-S1877705812029414-main.pdf,PLA_Itself_6.pdf
1-s2.0-S0169409X16302071-main.pdf,PLA_Itself_7.pdf
Comp Rev Food Sci Food Safe - 2010 - Jamshidian - Poly‐Lactic Acid  Production  Applications  Nanocomposites  and Release.pdf,PLA_Itself_8.pdf
1-s2.0-S0169409X16302058-main.pdf,PLA_Itself_9.pdf
1-s2.0-S0734975011000954-main.pdf,PLA_Itself_10.pdf
